Acoustic porosity,Bulk density (g/cc),Vp(0) (km/s),Vs(0) (km/s),C33 (GPa),C44 (GPa)
0.0453,2.62,4.10,2.50,44.13,16.43
0.0436,2.64,4.32,2.66,49.26,18.68
0.042,2.66,4.55,2.80,55.10,20.91
0.0404,2.68,4.81,2.96,61.90,23.52
0.0353,2.69,4.96,3.06,66.37,25.29
0.0287,2.70,5.05,3.11,68.85,26.12
0.0217,2.70,5.09,3.12,69.94,26.27
0.0154,2.70,5.13,3.13,71.08,26.40
0.0129,2.70,5.24,3.17,74.26,27.14
0.0105,2.70,5.36,3.21,77.74,27.93
0.0071,2.71,5.45,3.24,80.49,28.46
0.0051,2.71,5.46,3.23,80.54,28.22
0.0037,2.69,5.44,3.21,79.75,27.84
0.0031,2.68,5.47,3.23,80.10,27.93
0.0026,2.67,5.50,3.25,80.62,28.09
0.002,2.67,5.51,3.25,81.08,28.15
0.0021,2.68,5.54,3.26,82.09,28.48
0.0031,2.69,5.59,3.30,84.09,29.30
0.0045,2.70,5.61,3.32,85.00,29.80
0.0054,2.70,5.59,3.32,84.61,29.86
0.0062,2.71,5.57,3.32,84.18,29.88
0.0081,2.71,5.55,3.32,83.65,29.89
0.0096,2.71,5.40,3.23,78.85,28.26
0.0106,2.70,5.20,3.11,72.98,26.11
0.0108,2.69,5.09,3.04,69.67,24.89
0.011,2.68,4.98,2.98,66.67,23.79
0.011,2.68,4.88,2.89,63.99,22.45
0.011,2.68,4.88,2.90,63.93,22.52
0.011,2.68,4.90,2.93,64.42,22.93
0.0109,2.68,4.87,2.92,63.66,22.93
0.0106,2.69,4.93,2.96,65.28,23.61
0.0103,2.69,4.99,3.01,66.96,24.33
0.0097,2.70,5.10,3.08,70.16,25.58
0.009,2.70,5.27,3.18,75.14,27.28
0.0082,2.71,5.46,3.28,80.67,29.09
0.0075,2.71,5.55,3.32,83.43,29.91
0.0069,2.71,5.64,3.37,86.18,30.72
0.0052,2.70,5.66,3.37,86.62,30.61
0.0036,2.69,5.57,3.30,83.66,29.27
0.0027,2.68,5.40,3.19,78.29,27.31
0.0023,2.67,5.28,3.13,74.68,26.14
0.0023,2.67,5.27,3.11,74.11,25.86
0.0022,2.67,5.25,3.10,73.78,25.66
0.0022,2.68,5.26,3.09,74.13,25.56
0.0022,2.69,5.32,3.13,76.31,26.33
0.0022,2.70,5.48,3.22,80.91,28.03
0.0023,2.69,5.55,3.27,83.07,28.81
0.0021,2.69,5.54,3.26,82.48,28.50
0.0019,2.68,5.53,3.24,82.00,28.22
0.0013,2.68,5.63,3.29,84.91,29.04
0.0007,2.68,5.62,3.28,84.86,28.78
0.0002,2.68,5.51,3.19,81.31,27.26
0.0001,2.67,5.48,3.17,80.10,26.78
0.0001,2.65,5.45,3.15,78.69,26.27
0.0001,2.62,5.31,3.08,74.08,24.82
0.0001,2.61,5.05,2.92,66.54,22.30
0.0001,2.60,4.90,2.84,62.48,20.92
0.0001,2.60,4.89,2.83,62.13,20.84
0.0001,2.60,4.82,2.79,60.23,20.20
0.0001,2.60,4.74,2.75,58.43,19.61
0.0001,2.60,4.71,2.73,57.74,19.32
0.0001,2.61,4.70,2.72,57.67,19.29
0.0001,2.62,4.63,2.67,56.11,18.60
0.0001,2.62,4.71,2.71,58.12,19.30
0.0001,2.62,4.79,2.76,60.09,19.98
0.0001,2.61,4.80,2.78,60.31,20.17
0.0001,2.61,4.91,2.84,62.91,21.05
0.0001,2.61,5.02,2.90,65.82,22.04
0.0001,2.62,4.89,2.82,62.67,20.90
0.0001,2.63,4.85,2.80,61.90,20.54
