Acoustic porosity,Bulk density (g/cc),Vp(0) (km/s),Vs(0) (km/s),C33 (GPa),C44 (GPa)
0.0341,2.68,4.79,2.95,61.54,23.32
0.0339,2.68,4.84,2.97,62.64,23.66
0.0338,2.68,4.80,2.95,61.79,23.33
0.0339,2.68,4.79,2.95,61.51,23.26
0.0343,2.67,4.77,2.93,60.79,22.99
0.0345,2.68,4.67,2.88,58.43,22.13
0.0348,2.68,4.58,2.82,56.26,21.33
0.0352,2.68,4.59,2.83,56.53,21.47
0.0353,2.69,4.57,2.82,56.16,21.36
0.0353,2.69,4.53,2.79,55.15,20.97
0.0356,2.69,4.53,2.79,55.22,20.96
0.0358,2.69,4.57,2.82,56.16,21.28
